time_stamp,class,co_op,dream_career,hobby,song,ai_feels,age_months,pets,credit_hours,work_hours
2023/09/07 1:03:22 PM AST,Sophomore,No,Quantitative analyst/data analyst,I love reading. ,Long Live by Taylor Swift,I'm a bit worried it might be used for ill.,239.0,1.0,16,13.0
2023/09/07 1:56:09 PM AST,Sophomore,No,Data visualization/research for news company or data scientist/analyst for sports team ,Boxing ,Upside Down by Jack Johnson ,I'm a bit worried it might be used for ill.,234.0,6.0,16,3.0
2023/09/07 2:06:30 PM AST,Senior,Yes,Mechanical Engineer in Biotech,Golf,Ooh La La- Faces,"I think it's the future, and the future looks great!",269.0,1.0,19,20.0
2023/09/07 2:17:41 PM AST,Sophomore,No,Some place with a 4 day work week,Counter-Strike,,I'm a bit worried it might be used for ill.,252.0,2.0,8,2.0
2023/09/07 2:33:22 PM AST,Sophomore,No,Data Science at a Big 4 or Consulting Firm,Watching shows,We Didn't Start the Fire - FOB Version,I'm a bit worried it might be used for ill.,234.0,0.0,16,15.0
2023/09/07 2:54:11 PM AST,Sophomore,No,quant,DEBATE,succession theme song omg omg omg,"I think it's the future, and the future looks great!",232.0,4.0,18,20.0
2023/09/07 2:54:25 PM AST,Sophomore,No,SDE,Dance,I love Jesus ,"I think it's the future, and the future looks great!",229.0,0.0,18,20.0
2023/09/07 2:54:42 PM AST,Junior,Yes,Equestrian Trainer,Soccer,Walking on a Dream,"It will be useful, but it won't change the world signicantly.",249.0,3.0,16,12.0
2023/09/07 2:54:59 PM AST,Junior,Yes,Project Manager in Private Equity,Drawing,Vienna,"It will be useful, but it won't change the world signicantly.",248.0,10.0,17,15.0
2023/09/07 2:55:16 PM AST,Sophomore,No,Dream job: architect ,playing sports ,loud and fast ,"It will be useful, but it won't change the world signicantly.",115.0,4.0,16,0.0
2023/09/07 2:55:36 PM AST,Sophomore,No,Retirement,Spending time with my friends,good news,"It will be useful, but it won't change the world signicantly.",231.0,0.0,16,0.0
2023/09/07 2:55:39 PM AST,Sophomore,No,Using data science in a business/marketing atmosphere. ,Trying new coffee places.,Pursuit of Happiness by Kid Cudi,"I think it's the future, and the future looks great!",235.0,4.0,18,10.0
2023/09/07 2:55:59 PM AST,Sophomore,No,Looking into either data analyst careers or actuarial sciences. ,Painting,I Don't Wanna Be by Gavin Degraw,"I think it's the future, and the future looks great!",228.0,2.0,16,10.0
2023/09/07 2:56:00 PM AST,Senior,Yes,Investment Banking,,,"I think it's the future, and the future looks great!",265.0,3.0,16,0.0
2023/09/07 2:56:04 PM AST,Senior,Yes,Pursuing a career in either operations/logistics consulting or asset management,Watching movies or traveling around with friends,Blur- Song 2,I'm a bit worried it might be used for ill.,254.0,2.0,16,0.0
2023/09/07 2:56:11 PM AST,Junior,No,something that helps better understand our climate,photography,going up the country - canned heat,I'm a bit worried it might be used for ill.,247.0,5.0,16,4.0
2023/09/07 2:56:13 PM AST,Sophomore,No,I want to be a researcher in fields of artificial intelligence.,Writing or playing the piano or going for walks.,try,"I think it's the future, and the future looks great!",230.0,1.0,18,4.0
2023/09/07 2:56:18 PM AST,Junior,No,starting my own company and getting rich off of it,playing basketball/working out. also playing video games,August by t swift. both of the relationships that ive had started and pretty much ended around august,I'm a bit worried it might be used for ill.,244.0,1.0,18,0.0
2023/09/07 2:56:41 PM AST,Sophomore,No,quantification,Gaming,Re Aoharu,"I think it's the future, and the future looks great!",239.0,2.0,16,0.0
2023/09/07 2:57:02 PM AST,Senior,Yes,IDK,golf,,I'm a bit worried it might be used for ill.,280.0,2.0,16,0.0
2023/09/07 2:57:20 PM AST,Sophomore,No,Software / AI engineer,"coding, wandering around on Internet",Queencard,"I think it's the future, and the future looks great!",243.0,4.0,17,0.0
2023/09/07 2:57:40 PM AST,Junior,No,finance,going to the gym,Unwritten by Natasha Bedingfield,"I think it's the future, and the future looks great!",246.0,2.0,17,30.0
2023/09/07 2:58:04 PM AST,Junior,No,ML Engineer at large engineering company,Hiking,Alone in the Mountains - Goth Babe,"I think it's the future, and the future looks great!",251.0,1.0,18,15.0
2023/09/07 2:58:35 PM AST,Junior,No,Astronomer,Music,,I'm a bit worried it might be used for ill.,243.0,3.0,17,20.0
2023/09/07 2:59:01 PM AST,Junior,Yes,Financial Analyst/ Software Engineer,Travel,Cant think of one,"I think it's the future, and the future looks great!",243.0,2.0,18,20.0
2023/09/07 2:59:01 PM AST,Junior,No,Not sure yet,Reading,Giant Steps by John Coltrane,"I think it's the future, and the future looks great!",246.0,2.5,16,8.0
2023/09/07 2:59:40 PM AST,Sophomore,No,data analyst/data scientist,playing racket sports,Rebellious Way- Basixx,"I think it's the future, and the future looks great!",238.1,2.0,16,15.0
2023/09/07 3:01:12 PM AST,Sophomore,No,Data Scientist for Urban Design,Volleyball,Pink + White,"I think it's the future, and the future looks great!",240.0,2.0,17,0.0
2023/09/07 3:03:39 PM AST,Sophomore,No,Machine Learning/AI job in music industry,DJing,,"I think it's the future, and the future looks great!",230.0,0.0,15,12.0
2023/09/07 3:07:22 PM AST,Sophomore,No,Data Scientist,I play the Clarinet,Nikes by Frank Ocean,It's going to destroy us all!,234.0,1.0,16,0.0
2023/09/07 3:08:58 PM AST,Senior,Yes,work in a career crossing between data science and finance OR data science and marketing,sports and dancing ,the theme song would be Young and Beautiful ,I'm a bit worried it might be used for ill.,259.0,0.0,16,10.0
2023/09/07 3:40:33 PM AST,Sophomore,No,Quantitative Finance,Reading,Homecoming https://www.youtube.com/watch?v=LQ488QrqGE4,"It will be useful, but it won't change the world signicantly.",235.0,1.0,16,20.0
2023/09/07 3:41:39 PM AST,Sophomore,No,Something involving the intersection of tech and sustainability.,Cafe hopping,you're on your own kid- taylor swift,I'm a bit worried it might be used for ill.,226.0,1.0,18,8.0
2023/09/07 3:41:45 PM AST,Sophomore,No,Software Engineer,Soccer,Hold on were going hom,"I think it's the future, and the future looks great!",218.0,1.0,17,0.0
2023/09/07 3:43:39 PM AST,Junior,No,Portafolio Manager,"Driving anything (cars, carts, drones and kitesurk)",Mo mamba,"I think it's the future, and the future looks great!",238.0,1.0,17,0.0
2023/09/07 3:44:12 PM AST,Sophomore,No,"possibly data scientist, I love the flexibility it offers (geographically)","Playing soccer, gym, philosophical books",d'yer mak'er  - led zep,"I think it's the future, and the future looks great!",230.0,3.0,16,2.0
2023/09/07 3:44:14 PM AST,Sophomore,No,Biotech,playing/producing music,I Feel Like That by Kanye,"I think it's the future, and the future looks great!",230.0,4.0,18,0.0
2023/09/07 3:44:29 PM AST,Faculty,No,Teaching Professor at Northeastern,Anything Baseball,"""One More Time"" by Daft Punk","I think it's the future, and the future looks great!",393.0,6.0,12,0.0
2023/09/07 3:44:44 PM AST,Sophomore,No,Data Analyst ,Baking ,,I'm a bit worried it might be used for ill.,238.0,0.0,16,0.0
2023/09/07 3:44:48 PM AST,Junior,No,financial analyst ,swimming,Imagine - john lenon,"I think it's the future, and the future looks great!",256.0,1.0,16,0.0
2023/09/07 3:45:19 PM AST,Sophomore,No,maybe something like UX? not sure yet,traveling or just exploring new places and cities,cherry waves by deftones (because its the last song that i played lol),I'm a bit worried it might be used for ill.,237.0,1.0,16,0.0
2023/09/07 3:45:48 PM AST,Junior,Yes,Finance,Watching TV shows,,"It will be useful, but it won't change the world signicantly.",251.0,1.0,16,2.0
2023/09/07 3:45:50 PM AST,Sophomore,Yes,Software Engineer,Going to the beach,I'm Blue - David Guetta,"I think it's the future, and the future looks great!",237.0,3.0,17,0.0
2023/09/07 3:45:59 PM AST,Sophomore,No,"I'm not really sure, something fulfilling ",Video Games,All My Life By the Foo Fighters,I'm a bit worried it might be used for ill.,232.0,5.0,17,0.0
2023/09/07 3:46:16 PM AST,Sophomore,No,data scientist working within the realm of biology or neuroscience,"crafting (crochet, sew, woodwork, etc)",american teenager - ethel cain,Meh.,234.0,6.0,16,0.0
2023/09/07 3:46:36 PM AST,Sophomore,No,Quant finance,Swimming,Life is a highway,I'm a bit worried it might be used for ill.,235.0,2.0,16,8.5
2023/09/07 3:46:38 PM AST,Junior,Yes,"I am pre-med, so I'd like to be a doctor.",Painting,Stargazing by the Neighborhood,"I think it's the future, and the future looks great!",240.0,0.0,19,8.0
2023/09/07 3:46:39 PM AST,Sophomore,No,Predictive modelling and analytics in sports,Football Manager / watching football,"""The Coast"" by Paul Simon",I'm a bit worried it might be used for ill.,229.0,2.0,16,10.0
2023/09/07 3:50:10 PM AST,Sophomore,No,Natural Language Processing,D&D or Art,Strawberry Blond by Mitski,"It will be useful, but it won't change the world signicantly.",239.0,0.0,16,7.0
2023/09/07 3:50:47 PM AST,Sophomore,No,some sort of risk analysis?,working out,the drake and josh theme song,"It will be useful, but it won't change the world signicantly.",238.0,4.0,17,15.0
2023/09/07 3:51:13 PM AST,Junior,No,Cancer Research,Cooking,Hot Wings (I Wanna Party) from the Rio soundtrack,I'm a bit worried it might be used for ill.,242.0,2.0,20,18.0
2023/09/07 3:51:41 PM AST,Junior,Yes,software engineer,hiking,Road Trippin by Red Hot Chili Peppers,"I think it's the future, and the future looks great!",243.0,5.0,16,10.0
2023/09/07 4:04:49 PM AST,Junior,No,not decided yet,travelling,,"I think it's the future, and the future looks great!",228.0,0.0,16,0.0
2023/09/07 4:12:41 PM AST,Junior,Yes,Creating my own business,Chess,Hustle - P!nk,I'm a bit worried it might be used for ill.,242.0,9.0,16,7.0
2023/09/07 4:53:22 PM AST,Junior,No,Sports analytics/ Something relating to money,Listening to music ,july 16th (GIVEON) ,I'm a bit worried it might be used for ill.,242.0,5.0,16,0.0
2023/09/07 4:57:41 PM AST,Senior,Yes,CEO of my own company,Tennis,"""Break My Soul"" by Beyonce",Meh.,264.0,3.0,16,10.0
2023/09/07 4:57:43 PM AST,Junior,Yes,,Reading ,"Honey, Honey by ABBA",I'm a bit worried it might be used for ill.,244.0,0.0,16,0.0
2023/09/07 5:02:37 PM AST,Sophomore,No,Computational research,"Going to the beach, being in nature",All My Love by Noah Kahan,"I think it's the future, and the future looks great!",228.0,3.0,18,0.0
2023/09/07 5:29:22 PM AST,Sophomore,No,not sure yet,Anything about anime,Blue Bird by Ikimonogakari,"It will be useful, but it won't change the world signicantly.",248.0,0.0,16,0.0
2023/09/07 6:46:23 PM AST,Sophomore,No,Corporate Lawyer,painting ,"""Pink + White"" - Frank Ocean","I think it's the future, and the future looks great!",230.0,0.0,16,0.0
2023/09/07 6:47:39 PM AST,Sophomore,No,I would like to become an asset manager someday,Dancing,Striptease by Carwash,"I think it's the future, and the future looks great!",237.0,5.0,16,4.0
2023/09/07 7:42:17 PM AST,Senior,Yes,Software engineer,Baking,,"It will be useful, but it won't change the world signicantly.",253.0,5.0,16,0.0
2023/09/07 8:43:47 PM AST,Sophomore,No,Doctor in Neurosurgery or Cardiology,Dancing!,Dancing in the Courthouse-- Dominic Fike,"I think it's the future, and the future looks great!",240.0,0.0,18,12.0
2023/09/07 9:19:50 PM AST,Sophomore,No,I hope to work in bioinformatics or biotech,"I like skateboarding, though I'm not very good at it","""The Spins"" by Mac Miller",I'm a bit worried it might be used for ill.,227.0,6.0,19,0.0
2023/09/07 9:58:38 PM AST,Junior,Yes,fintech startup,reading,Chamber of Reflection by Mac DeMarco,Meh.,243.0,0.0,16,8.0
2023/09/07 10:07:28 PM AST,Senior,No,Software Engineer,Badminton,Spark of dream,"It will be useful, but it won't change the world signicantly.",246.0,2.0,12,40.0
2023/09/07 10:14:42 PM AST,Sophomore,No,"Entrepreneur, running private company","Entrepreneurship, business",Breathe (In the Air) by Pink Floyd,"I think it's the future, and the future looks great!",243.0,10.0,16,0.0
2023/09/07 10:36:25 PM AST,Sophomore,No,Something in the computer science area,Reading,Put Your Records On by Ritt Momney,Meh.,237.0,2.0,17,0.0
2023/09/07 11:09:51 PM AST,Senior,Yes,Data scientist/bioinformatician,Rock climbing,quiet motions by mxmtoon - https://www.youtube.com/watch?v=NY__uAZtZZ8,I'm a bit worried it might be used for ill.,263.0,2.0,17,5.0
2023/09/08 3:26:47 AM AST,Junior,No,Software Engineer,Listen to music/Watch TV,I'M THAT GIRL by Beyonce,"It will be useful, but it won't change the world signicantly.",229.0,3.0,17,0.0
2023/09/08 9:47:56 AM AST,Sophomore,No,Something that has to do with cybersecurity and AI,Music (listening and playing),Signs by Snoop Dogg,"It will be useful, but it won't change the world signicantly.",230.0,3.0,16,0.0
2023/09/08 9:49:00 AM AST,Sophomore,No,cybersecurity/data engineering,Dancing ,wildest dreams - taylor swift,"I think it's the future, and the future looks great!",224.0,1.0,17,15.0
2023/09/08 9:51:09 AM AST,Sophomore,No,Data Analytics for an environmental company,reading,,I'm a bit worried it might be used for ill.,231.0,7.0,17,25.0
2023/09/08 9:51:54 AM AST,Senior,Yes,Software Engineer,Badminton,,I'm a bit worried it might be used for ill.,260.0,0.0,16,0.0
2023/09/08 9:56:49 AM AST,Sophomore,No,"Any career in data science, don't really have any ideas in particular",Going to the gym,https://www.youtube.com/watch?v=88g3YrG0HtY,I'm a bit worried it might be used for ill.,234.0,0.0,16,0.0
2023/09/08 10:24:00 AM AST,Sophomore,No,Something in the field of neuroscience,Painting/drawing,Don't Delete the Kisses - Wolf Alice (https://www.youtube.com/watch?v=WqxE-zppu30),I'm a bit worried it might be used for ill.,234.0,0.0,17,5.0
2023/09/08 10:24:37 AM AST,Sophomore,No,VC or project management ,dancing,https://www.youtube.com/watch?v=8zSRkr1nQNw,I'm a bit worried it might be used for ill.,232.0,0.0,18,4.0
2023/09/08 10:25:47 AM AST,Sophomore,No,"Currently I no I have interests in both data manipulation and math, but with all the changez being brought with AI I am not currently pursuing any specific career.","I enjoy reading, board games, and magic the gathering!","Day N Nite, Kid Cudi",,228.5,2.0,16,0.0
2023/09/08 10:41:01 AM AST,Sophomore,No,Data Analytics in a sports team front office,Photography,This Life - Vampire Weekend,I'm a bit worried it might be used for ill.,242.0,3.0,16,0.0
2023/09/08 10:46:05 AM AST,Sophomore,No,Computer Scientist/Engineer,Creating artwork,Fast Forward,"I think it's the future, and the future looks great!",230.0,7.0,20,10.0
2023/09/08 10:47:23 AM AST,Sophomore,No,Data Analyst / Business Analyst,Creating and DJing electronic music,One More Year - Tame Impala,"I think it's the future, and the future looks great!",229.0,4.0,17,15.0
2023/09/08 10:50:45 AM AST,Sophomore,No,Hopefully something in tech consulting,Playing soccer and running,Escapism by Raye,I'm a bit worried it might be used for ill.,229.0,1.0,17,0.0
2023/09/08 10:50:47 AM AST,Junior,No,Equity Research Analyst,Golf,I wonder ,"It will be useful, but it won't change the world signicantly.",276.0,3.0,16,0.0
2023/09/08 10:52:36 AM AST,Sophomore,Yes,Software developer,Weightlifting,,I'm a bit worried it might be used for ill.,236.0,8.0,17,0.0
2023/09/08 10:52:38 AM AST,Sophomore,No,App development or data analytics,Chess,"I can't think of a theme song for my life, but my favorite song from a TV show is Girei: https://www.youtube.com/watch?v=2FfDdxZc68M","I think it's the future, and the future looks great!",229.0,0.0,17,0.0
2023/09/08 10:53:46 AM AST,Junior,Yes,"product management, data analyst, or qa engineer!",going to concerts and listening to music 😁,out of tune by the backseat lovers! - https://open.spotify.com/track/4r3Er3AOnUXFZY34F7tet8?si=63318eec40e54327,I'm a bit worried it might be used for ill.,248.0,13.0,16,25.0
2023/09/08 10:53:48 AM AST,Junior,Yes,A lab position in the biotech industry!,I like singing Carnatic music (Indian classical vocal music),Possibly Driving Myself Home by Rose Betts!,I'm a bit worried it might be used for ill.,245.0,0.0,19,0.0
2023/09/08 10:53:58 AM AST,Sophomore,No,Working at a non-profit or in public health hopefully!,Reading or going on walks!,The theme song would be Peace Sign by The Front Bottoms. ,"It will be useful, but it won't change the world signicantly.",239.0,1.0,17,15.0
2023/09/08 10:54:15 AM AST,Sophomore,No,,,,"I think it's the future, and the future looks great!",239.0,1.0,17,0.0
2023/09/08 10:56:47 AM AST,Senior,Yes,Physician,going to the gym/lifting,Pursuit of Happiness by Kid Cudi,I'm a bit worried it might be used for ill.,255.0,0.0,17,9.0
2023/09/08 11:18:01 AM AST,Sophomore,No,no clue,"doing my nails, listening to music, watching tv shows",That Girl by Pharrell Williams ft. Snoop Dogg; https://www.youtube.com/watch?v=tbXdtepeFzI&ab_channel=PharrellVEVO,I'm a bit worried it might be used for ill.,240.0,1.0,17,0.0
2023/09/08 11:36:22 AM AST,Senior,Yes,Data Scientist working in applications of Topological Data Analysis to ML problems,Swimming,can't think of one right now,"I think it's the future, and the future looks great!",254.0,12.0,17,20.0
2023/09/08 12:29:24 PM AST,Senior,Yes,Analytical data/information work that isn't software development,Labor organizing,Do not know television; my apologies,I'm a bit worried it might be used for ill.,256.0,10.0,16,0.0
2023/09/08 12:36:59 PM AST,Junior,Yes,Software Developer (or musician!),Listening to a LOT of music,"Thundercat - ""Them Changes"" (https://open.spotify.com/track/7CH99b2i1TXS5P8UUyWtnM?si=140833d819a24adb)",I'm a bit worried it might be used for ill.,250.0,5.0,16,0.0
2023/09/08 1:14:46 PM AST,Sophomore,No,Physician or Something in biotechnology,Listening to Music,Boss B*tch by Doja Cat,I'm a bit worried it might be used for ill.,230.0,4.0,18,0.0
2023/09/08 1:16:06 PM AST,Junior,No,"Tech consulting, blockchain developer, app developer",Learning new things (microblading/tattoo),Hug All Your Friends - Cavetown,"I think it's the future, and the future looks great!",246.0,4.0,16,0.0
2023/09/08 1:21:08 PM AST,Sophomore,No,I would like to pursue a career in mycology,I enjoy going for walks around the city and seeing new areas,https://www.youtube.com/watch?v=_V2sBURgUBI,"I think it's the future, and the future looks great!",231.0,4.0,17,0.0
2023/09/08 1:27:56 PM AST,Sophomore,No,UX/UI,Hiking,California Dreamin',I'm a bit worried it might be used for ill.,238.0,10.0,16,0.0
2023/09/08 1:39:19 PM AST,Sophomore,No,"I'm pre-PA, pursuing a career in neuroradiology/neuroimaging",Thrifting,The King - Sarah Kinsley,I'm a bit worried it might be used for ill.,230.0,1.0,18,14.0
2023/09/08 1:47:04 PM AST,Sophomore,No,AI Researcher ,hikingggg,Sticky - Drake ,"I think it's the future, and the future looks great!",239.0,1.0,17,0.0
2023/09/08 1:47:13 PM AST,Sophomore,No,Biotech consulting/research,"Frisbee, basketball and playing the cello",Kimmy Possible Theme Song,"It will be useful, but it won't change the world signicantly.",229.0,3.0,23,0.0
2023/09/08 1:48:13 PM AST,Sophomore,No,Software Engineer,Gaming,,"I think it's the future, and the future looks great!",237.0,3.0,17,15.0
2023/09/08 1:50:01 PM AST,Junior,Yes,Software Engineer,Specialty coffee,Life Hack - Vaundy https://www.youtube.com/watch?v=Tzyt91TYjLA,"I think it's the future, and the future looks great!",250.0,0.0,16,0.0
2023/09/08 1:50:03 PM AST,Sophomore,No,Fintech/business,Gaming,FRIENDS Intro Song!,I'm a bit worried it might be used for ill.,237.0,1.0,17,0.0
2023/09/08 1:50:05 PM AST,Sophomore,Yes,Project Manager,Playing video games,Mad and Liv,I'm a bit worried it might be used for ill.,233.0,2.0,16,0.0
2023/09/08 1:50:26 PM AST,Sophomore,No,UX Designer,Makeup,mr blue sky,I'm a bit worried it might be used for ill.,233.0,7.0,16,0.0
2023/09/08 1:50:26 PM AST,Junior,Yes,Not sure yet,Cooking/baking,,I'm a bit worried it might be used for ill.,247.0,3.0,16,20.0
2023/09/08 1:53:26 PM AST,Sophomore,No,Anything in the data science field,Drawing/painting/digital art,Favorite Things from the Sound Of Music,"It will be useful, but it won't change the world signicantly.",229.0,3.0,16,0.0
2023/09/08 1:58:39 PM AST,Sophomore,No,Actuary / Math PHD track/ Data Scientist ,Fly Fishing,Heading South,"I think it's the future, and the future looks great!",241.0,3.0,17,0.0
2023/09/08 2:11:51 PM AST,Sophomore,No,"Something in bioinformatics, maybe in the medical field",Shopping and Drawing,Bejeweled - Taylor Swift,I'm a bit worried it might be used for ill.,230.0,1.0,19,0.0
2023/09/08 2:12:23 PM AST,Sophomore,No,still to be determined,,,"I think it's the future, and the future looks great!",237.0,0.0,16,0.0
2023/09/08 2:14:21 PM AST,Sophomore,No,sports manager,doing sports,,"I think it's the future, and the future looks great!",229.0,3.0,16,0.0
2023/09/08 2:14:42 PM AST,Sophomore,No,Software engineer,Going to the gym,Troublemaker,"I think it's the future, and the future looks great!",238.0,5.0,18,0.0
2023/09/08 2:15:54 PM AST,Sophomore,No,f1,reading,walk in the park,I'm a bit worried it might be used for ill.,233.0,3.0,16,10.0
2023/09/08 2:16:36 PM AST,Sophomore,No,Singer/Data Scientist,Singing,How Far I'll Go - Moana,I'm a bit worried it might be used for ill.,232.0,1.0,17,20.0
2023/09/08 2:16:37 PM AST,Sophomore,No,Startup founder,Spending time with friends,Any Kevin MacLeod song,,244.0,8.0,16,10.0
2023/09/08 2:17:44 PM AST,Sophomore,No,F1 Data Analyst/AI Engineer ,Arts & Crafts ,"Ængus, The Prize-Winning Hog","I think it's the future, and the future looks great!",239.0,8.0,16,20.0
2023/09/08 2:18:19 PM AST,Sophomore,No,Physician,Watching football (huge Patriots fan),Shark Tank,"I think it's the future, and the future looks great!",237.0,0.0,18,24.0
2023/09/08 2:20:07 PM AST,Junior,Yes,Still trying to figure out,Working out or Reading,Finesse by Bruno Mars,"I think it's the future, and the future looks great!",246.0,1.0,17,0.0
2023/09/08 2:22:21 PM AST,Sophomore,No,No clue,Surfing,Te vi - Tagua Tagua,I'm a bit worried it might be used for ill.,237.0,6.0,17,0.0
2023/09/08 2:27:58 PM AST,Junior,Yes,Risk Advisory,cooking,UNDERWATER BOI by Turnstile,Meh.,250.0,3.0,16,0.0
2023/09/08 2:43:20 PM AST,Sophomore,No,"I currently want to pursue a career in data science (data scientist, maybe DS project manager in the future)",Soccer/Video games,,"It will be useful, but it won't change the world signicantly.",248.0,2.0,16,0.0
2023/09/08 2:49:04 PM AST,Sophomore,No,Psychiatrist,Photography,Sad girlz luv money - Kali Uchis,I'm a bit worried it might be used for ill.,233.0,4.0,19,0.0
2023/09/08 2:59:08 PM AST,Junior,Yes,Investment banking,Weightlifting,Baby shark,"I think it's the future, and the future looks great!",247.0,5.0,16,0.0
2023/09/08 5:23:46 PM AST,Sophomore,No,Audio Tech/Signal Processing maybe,"Recording, Audio Cleanup, Mixing+Mastering Audio",ZUN - Heartfelt Fancy: https://www.youtube.com/watch?v=xYatu6FZBcY,I'm a bit worried it might be used for ill.,233.0,2.0,16,0.0
2023/09/08 8:08:16 PM AST,Sophomore,No,not sure yet,"visiting new place, taking a walk, reading books",,Meh.,236.0,3.0,20,0.0
